Date,Time,player_count
9/21/2023,11:40,603536
9/21/2023,11:45,606411
9/21/2023,11:50,609576
9/21/2023,11:55,613848
9/21/2023,12:00,618976
9/21/2023,12:05,624646
9/21/2023,12:10,629984
9/21/2023,12:15,636680
9/21/2023,12:20,643211
9/21/2023,12:25,652249
9/21/2023,12:30,661872
9/21/2023,12:35,673019
9/21/2023,12:40,684832
9/21/2023,12:45,697022
9/21/2023,12:50,710422
9/21/2023,12:55,725260
9/21/2023,13:00,739825
9/21/2023,13:05,755567
9/21/2023,13:10,771036
9/21/2023,13:15,786992
9/21/2023,13:20,803588
9/21/2023,13:25,821460
9/21/2023,13:30,839903
9/21/2023,13:35,859347
9/21/2023,13:40,878531
9/21/2023,13:45,897263
9/21/2023,13:50,916783
9/21/2023,13:55,936392
9/21/2023,14:00,955669
9/21/2023,14:05,973990
9/21/2023,14:10,991682
9/21/2023,14:15,1009031
9/21/2023,14:20,1024840
9/21/2023,14:25,1040909
9/21/2023,14:30,1057289
9/21/2023,14:35,1072384
9/21/2023,14:40,1085715
9/21/2023,14:45,1098884
9/21/2023,14:50,1111987
9/21/2023,14:55,1125746
9/21/2023,15:00,1139035
9/21/2023,15:05,1151691
9/21/2023,15:10,1163771
9/21/2023,15:15,1177543
9/21/2023,15:20,1191265
9/21/2023,15:25,1211285
9/21/2023,15:30,1234566
9/21/2023,15:35,1259497
9/21/2023,15:40,1286896
9/21/2023,15:45,1316000
9/21/2023,15:50,1345705
9/21/2023,15:55,1377411
9/21/2023,16:00,1410640
9/21/2023,16:05,1445884
9/21/2023,16:10,1481754
9/21/2023,16:15,1519023
9/21/2023,16:20,1556832
9/21/2023,16:25,1597920
9/21/2023,16:30,1640487
9/21/2023,16:35,1683185
9/21/2023,16:40,1727180
9/21/2023,16:45,1770059
9/21/2023,16:50,1812871
9/21/2023,16:55,1855496
9/21/2023,17:00,1899096
9/21/2023,17:05,1943188
9/21/2023,17:10,1986793
9/21/2023,17:15,2028210
9/21/2023,17:20,2068395
9/21/2023,17:25,2108967
9/21/2023,17:30,2147700
9/21/2023,17:35,2187078
9/21/2023,17:40,2223377
9/21/2023,17:45,2256779
9/21/2023,17:50,2286207
9/21/2023,17:55,2315336
9/21/2023,18:00,2346236
9/21/2023,18:05,2375870
9/21/2023,18:10,2403467
9/21/2023,18:15,2428118
9/21/2023,18:20,2451074
9/21/2023,18:25,2473904
9/21/2023,18:30,2493630
9/21/2023,18:35,2511409
9/21/2023,18:40,2528762
9/21/2023,18:45,2543960
9/21/2023,18:50,2553830
9/21/2023,18:55,2564012
9/21/2023,19:00,2572344
9/21/2023,19:05,2579043
9/21/2023,19:10,2584428
9/21/2023,19:15,2588164
9/21/2023,19:20,2589595
