Date,Time,Player_count
9/24/2023,0:00,2711248
9/24/2023,0:05,2726267
9/24/2023,0:10,2712687
9/24/2023,0:15,2745816
9/24/2023,0:20,2756843
9/24/2023,0:25,2768107
9/24/2023,0:30,2777797
9/24/2023,0:35,2786147
9/24/2023,0:40,2791525
9/24/2023,0:45,2791460
9/24/2023,0:50,2792515
9/24/2023,0:55,2791291
9/24/2023,1:00,2786158
9/24/2023,1:05,2778371
9/24/2023,1:10,2765482
9/24/2023,1:15,2746850
9/24/2023,1:20,2724290
9/24/2023,1:25,2703377
9/24/2023,1:30,2694761
9/24/2023,1:35,2678862
9/24/2023,1:40,2656273
9/24/2023,1:45,2630650
9/24/2023,1:50,2603747
9/24/2023,1:55,2575672
9/24/2023,2:00,2518914
9/24/2023,2:05,2502008
9/24/2023,2:10,2465362
9/24/2023,2:15,2423010
9/24/2023,2:20,2379869
9/24/2023,2:25,2341661
9/24/2023,2:30,2304558
9/24/2023,2:35,2266762
9/24/2023,2:40,2227849
9/24/2023,2:45,2187648
9/24/2023,2:50,2147264
9/24/2023,2:55,2109835
9/24/2023,3:00,2071561
9/24/2023,3:05,2032915
9/24/2023,3:10,1993042
9/24/2023,3:15,1951414
9/24/2023,3:20,1909879
9/24/2023,3:25,1873049
9/24/2023,3:30,1839080
9/24/2023,3:35,1807837
9/24/2023,3:40,1775960
9/24/2023,3:45,1745405
9/24/2023,3:50,1718530
9/24/2023,3:55,1692518
9/24/2023,4:00,1667061
9/24/2023,4:05,1642784
9/24/2023,4:10,1618158
9/24/2023,4:15,1593780
9/24/2023,4:20,1570115
9/24/2023,4:25,1548410
9/24/2023,4:30,1527471
9/24/2023,4:35,1506956
9/24/2023,4:40,1486694
9/24/2023,4:45,1467198
9/24/2023,4:50,1448377
9/24/2023,4:55,1431122
9/24/2023,5:00,1413993
9/24/2023,5:05,1396877
9/24/2023,5:10,1380422
9/24/2023,5:15,1363704
9/24/2023,5:20,1346798
9/24/2023,5:25,1331351
9/24/2023,5:30,1317816
9/24/2023,5:35,1303324
9/24/2023,5:40,1288765
9/24/2023,5:45,1276313
9/24/2023,5:50,1264809
9/24/2023,5:55,1252541
9/24/2023,6:00,1241051
9/24/2023,6:05,1230083
9/24/2023,6:10,1218361
9/24/2023,6:15,1207193
9/24/2023,6:20,1196041
9/24/2023,6:25,1186149
9/24/2023,6:30,1175724
9/24/2023,6:35,1166330
9/24/2023,6:40,1156684
9/24/2023,6:45,1146835
9/24/2023,6:50,1138168
9/24/2023,6:55,1130566
9/24/2023,7:00,1121803
9/24/2023,7:05,1113607
9/24/2023,7:10,1104925
9/24/2023,7:15,1095896
9/24/2023,7:20,1086544
9/24/2023,7:25,1077530
9/24/2023,7:30,1069802
9/24/2023,7:35,1061940
9/24/2023,7:40,1052689
9/24/2023,7:45,1044591
9/24/2023,7:50,1036261
9/24/2023,7:55,1028211
9/24/2023,8:00,1018954
9/24/2023,8:05,1010019
9/24/2023,8:10,1000602
9/24/2023,8:15,990351
9/24/2023,8:20,980054
9/24/2023,8:25,970815
9/24/2023,8:30,961527
9/24/2023,8:35,947653
9/24/2023,8:40,942640
9/24/2023,8:45,932673
9/24/2023,8:50,922678
9/24/2023,8:55,913154
9/24/2023,9:00,902231
9/24/2023,9:05,891364
9/24/2023,9:10,878777
9/24/2023,9:15,865081
9/24/2023,9:20,849891
9/24/2023,9:25,837035
9/24/2023,9:30,824195
9/24/2023,9:35,811326
9/24/2023,9:40,797700
9/24/2023,9:45,784071
9/24/2023,9:50,769623
9/24/2023,9:55,755588
9/24/2023,10:00,740837
9/24/2023,10:05,724413
9/24/2023,10:10,705281
9/24/2023,10:15,683687
9/24/2023,10:20,654278
9/24/2023,10:25,637816
9/24/2023,10:30,625798
9/24/2023,10:35,615519
9/24/2023,10:40,605285
9/24/2023,10:45,596266
9/24/2023,10:50,587196
9/24/2023,10:55,579185
9/24/2023,11:00,570775
9/24/2023,11:05,562361
9/24/2023,11:10,554129
9/24/2023,11:15,545620
9/24/2023,11:20,534765
9/24/2023,11:25,530343
9/24/2023,11:30,528510
9/24/2023,11:35,527795
9/24/2023,11:40,528296
9/24/2023,11:45,529462
9/24/2023,11:50,531551
9/24/2023,11:55,534263
9/24/2023,12:00,537803
9/24/2023,12:05,541848
9/24/2023,12:10,545795
9/24/2023,12:15,550141
9/24/2023,12:20,555319
9/24/2023,12:25,561352
9/24/2023,12:30,569034
9/24/2023,12:35,577044
9/24/2023,12:40,0
9/24/2023,12:45,599823
9/24/2023,12:50,609938
9/24/2023,12:55,619976
9/24/2023,13:00,631166
9/24/2023,13:05,642328
9/24/2023,13:10,654103
9/24/2023,13:15,667394
9/24/2023,13:20,681384
9/24/2023,13:25,695839
9/24/2023,13:30,711154
9/24/2023,13:35,727024
9/24/2023,13:40,743277
9/24/2023,13:45,759360
9/24/2023,13:50,775064
9/24/2023,13:55,790802
