Date,Time,Player_count
24/10/2023,14:05,609952
24/10/2023,14:10,608506
24/10/2023,14:15,606577
24/10/2023,14:20,604879
24/10/2023,14:25,603868
24/10/2023,14:30,603070
24/10/2023,14:35,602284
24/10/2023,14:40,597245
24/10/2023,14:45,595044
24/10/2023,14:50,593723
24/10/2023,14:55,591575
24/10/2023,15:00,589605
24/10/2023,15:05,587220
24/10/2023,15:10,584370
24/10/2023,15:15,581037
24/10/2023,15:20,578663
24/10/2023,15:25,577040
24/10/2023,15:30,572010
24/10/2023,15:35,570011
24/10/2023,15:40,569669
24/10/2023,15:45,569225
24/10/2023,15:50,569335
24/10/2023,15:55,569665
24/10/2023,16:00,569432
24/10/2023,16:05,569230
24/10/2023,16:10,568630
24/10/2023,16:15,567486
24/10/2023,16:20,568041
24/10/2023,16:25,566941
24/10/2023,16:30,567845
24/10/2023,16:35,570177
24/10/2023,16:40,570763
24/10/2023,16:45,573167
24/10/2023,16:50,576503
24/10/2023,16:55,579032
24/10/2023,17:00,582143
24/10/2023,17:05,584867
24/10/2023,17:10,587127
24/10/2023,17:15,588822
24/10/2023,17:20,587989
24/10/2023,17:25,591007
24/10/2023,17:30,593218
24/10/2023,17:35,596427
24/10/2023,17:40,599405
24/10/2023,17:45,602975
24/10/2023,17:50,606570
24/10/2023,17:55,610173
24/10/2023,18:00,614075
24/10/2023,18:05,617446
24/10/2023,18:10,616192
24/10/2023,18:15,618673
24/10/2023,18:20,621873
24/10/2023,18:25,625076
24/10/2023,18:30,629188
24/10/2023,18:35,633290
24/10/2023,18:40,636362
24/10/2023,18:45,641030
24/10/2023,18:50,645215
24/10/2023,18:55,649527
24/10/2023,19:00,650348
24/10/2023,19:05,653203
24/10/2023,19:10,657344
24/10/2023,19:15,660014
24/10/2023,19:20,664304
24/10/2023,19:25,669701
24/10/2023,19:30,676199
24/10/2023,19:35,682672
24/10/2023,19:40,689129
24/10/2023,19:45,695052
24/10/2023,19:50,700048
24/10/2023,19:55,705840
24/10/2023,20:00,711605
24/10/2023,20:05,714856
24/10/2023,20:10,719947
