title,type,releasedate,developer,publisher,category
Counter-Strike,game,11/1/2000,Valve,Valve,top_1000
Call of Duty: World at War,game,11/18/2008,Treyarch,Activision,top_1000
Call of Duty: Modern Warfare 2,game,11/11/2009,Infinity Ward,Activision,top_1000
Call of Duty: Modern Warfare 2 - Multiplayer,game,11/11/2009,Infinity Ward,Activision,top_1000
Disciples III: Reincarnation,game,2/14/2014,Akella,Kalypso Media Digital,top_1000
ORION: Prelude,game,4/16/2013,Spiral Game Studios,DANKIE,top_1000
Empire: Total War,game,3/4/2009,CREATIVE ASSEMBLY,SEGA,top_1000
Age of Empires III: Complete Collection,game,1/5/2012,Ensemble Studios,Xbox Game Studios,top_1000
Terraria,game,5/16/2011,Re-Logic,Re-Logic,top_1000
Space Pirates and Zombies,game,8/15/2011,MinMax Games Ltd,MinMax Games Ltd,top_1000
Arma 3,game,9/12/2013,Bohemia Interactive,Bohemia Interactive,top_1000
Project Zomboid,game,11/8/2013,The Indie Stone,The Indie Stone,top_1000
Neverwinter,game,12/5/2013,Cryptic Studios,Perfect World Entertainment,top_1000
TrackMania Nations Forever,game,4/16/2008,Nadeo,Ubisoft,top_1000
L.A. Noire,game,11/8/2011,Team Bondi,Rockstar Games,top_1000
Monaco,game,4/24/2013,Pocketwatch Games,Pocketwatch Games,top_1000
The Binding of Isaac,game,9/28/2011,Edmund McMillen and Florian Himsl,Edmund McMillen,top_1000
APB Reloaded,game,12/6/2011,Little Orbit,Little Orbit,top_1000
Fallen Earth,game,2/22/2012,Little Orbit,Little Orbit,top_1000
Overlord,game,11/12/2009,Triumph Studios,Codemasters,top_1000
Red Orchestra: Ostfront 41-45,game,3/14/2006,Tripwire Interactive,Tripwire Interactive,top_1000
Grand Theft Auto: San Andreas,game,1/6/2011,Rockstar Games,Rockstar Games,top_1000
Max Payne 2: The Fall of Max Payne,game,1/6/2011,Remedy Entertainment,Rockstar Games,top_1000
Grand Theft Auto IV,game,12/2/2008,Rockstar North,Rockstar Games,top_1000
Sacred Gold,game,7/9/2008,Ascaron Entertainment ltd,Strategy First,top_1000
Killing Floor,game,5/14/2009,Tripwire Interactive,Tripwire Interactive,top_1000
Half-Life: Blue Shift,game,6/1/2001,Gearbox Software,Valve,top_1000
Unreal Tournament 3: Black Edition,game,3/5/2009,Epic Games,Epic Games,top_1000
Unreal Tournament 2004,game,3/17/2004,Epic Games,Epic Games,top_1000
Far Cry,game,4/1/2008,Crytek Studios,Ubisoft,top_1000
Tom Clancys Rainbow Six: Vegas 2,game,4/16/2008,Ubisoft Montreal,Ubisoft,top_1000
Silent Hunter III,game,6/13/2008,Ubisoft,Ubisoft,top_1000
IL-2 Sturmovik: 1946,game,6/13/2008,1C: Maddox Games,1C Entertainment,top_1000
Oddworld: Abes Oddysee,game,8/28/2008,Oddworld Inhabitants,Oddworld Inhabitants,top_1000
F.E.A.R. 2: Project Origin,game,2/12/2009,Monolith,Warner Bros Interactive Entertainment,top_1000
Source Filmmaker,game,7/10/2012,Valve,Valve,top_1000
Earth 2160,game,4/1/2006,Reality Pump Studios,Topware Interactive,top_1000
Realm of the Mad God,game,2/20/2012,Wild Shadow Studios,Deca Games,top_1000
Batman: Arkham City GOTY,game,9/7/2012,Rocksteady Studios,Warner Bros Interactive Entertainment,top_1000
XCOM: Enemy Unknown,game,10/11/2012,Firaxis Games,2K,top_1000
Torchlight II,game,9/20/2012,Runic Games,Runic Games,top_1000
