Date,Time,Player_count
9/23/2023,1:25:00,2722578
9/23/2023,1:30:00,2718172
9/23/2023,1:35:00,2712038
9/23/2023,1:40:00,2702890
9/23/2023,1:45:00,2691888
9/23/2023,1:50:00,2679008
9/23/2023,1:55:00,2665251
9/23/2023,2:00:00,2650501
9/23/2023,2:05:00,2633502
9/23/2023,2:10:00,2610987
9/23/2023,2:15:00,2584114
9/23/2023,2:20:00,2561183
9/23/2023,2:25:00,2543365
9/23/2023,2:30:00,2523817
9/23/2023,2:35:00,2502380
9/23/2023,2:40:00,2478096
9/23/2023,2:45:00,2451538
9/23/2023,2:50:00,2425502
9/23/2023,2:55:00,2400202
9/23/2023,3:00:00,2372249
9/23/2023,3:05:00,2341583
9/23/2023,3:10:00,2308352
9/23/2023,3:15:00,2271234
9/23/2023,3:20:00,2240489
9/23/2023,3:25:00,2216325
9/23/2023,3:30:00,2195739
9/23/2023,3:35:00,2179037
9/23/2023,3:40:00,2162171
9/23/2023,3:45:00,2145819
9/23/2023,3:50:00,2130080
9/23/2023,3:55:00,2115121
9/23/2023,4:00:00,2098234
9/23/2023,4:05:00,2081500
9/23/2023,4:10:00,2063577
9/23/2023,4:15:00,2045421
9/23/2023,4:20:00,2026941
9/23/2023,4:25:00,2008585
9/23/2023,4:30:00,1989900
9/23/2023,4:35:00,1971299
9/23/2023,4:40:00,1952097
9/23/2023,4:45:00,1932998
9/23/2023,4:50:00,1907459
9/23/2023,4:55:00,1889080
9/23/2023,5:00:00,1870013
9/23/2023,5:05:00,1850390
9/23/2023,5:10:00,1828957
9/23/2023,5:15:00,1808086
9/23/2023,5:20:00,1786921
9/23/2023,5:25:00,1765940
9/23/2023,5:30:00,1744134
9/23/2023,5:35:00,1722843
9/23/2023,5:40:00,1703091
9/23/2023,5:45:00,1681626
9/23/2023,5:50:00,1661381
9/23/2023,5:55:00,1640717
9/23/2023,6:00:00,1621013
9/23/2023,6:05:00,1601174
9/23/2023,6:10:00,1580773
9/23/2023,6:15:00,1559916
9/23/2023,6:20:00,1539820
9/23/2023,6:25:00,1520563
9/23/2023,6:30:00,1501711
9/23/2023,6:35:00,1482964
9/23/2023,6:40:00,1464616
9/23/2023,6:45:00,1447224
9/23/2023,6:50:00,1428921
9/23/2023,6:55:00,1411117
9/23/2023,7:00:00,1393478
9/23/2023,7:05:00,1376555
9/23/2023,7:10:00,1359005
9/23/2023,7:15:00,1341204
9/23/2023,7:20:00,1324285
9/23/2023,7:25:00,1306654
9/23/2023,7:30:00,1290223
9/23/2023,7:35:00,1273699
9/23/2023,7:40:00,1257187
9/23/2023,7:45:00,1240779
9/23/2023,7:50:00,1225288
9/23/2023,7:55:00,1209640
9/23/2023,8:00:00,1193969
9/23/2023,8:05:00,1178262
9/23/2023,8:10:00,1162729
9/23/2023,8:15:00,1146967
9/23/2023,8:20:00,1132677
9/23/2023,8:25:00,1118911
9/23/2023,8:30:00,1105241
9/23/2023,8:35:00,1092546
9/23/2023,8:40:00,1079194
9/23/2023,8:45:00,1065771
9/23/2023,8:50:00,1052002
9/23/2023,8:55:00,1038195
9/23/2023,9:00:00,1023749
9/23/2023,9:05:00,1008278
9/23/2023,9:10:00,991215
9/23/2023,9:15:00,972064
9/23/2023,9:20:00,952913
9/23/2023,9:25:00,936208
9/23/2023,9:30:00,920208
9/23/2023,9:35:00,903816
9/23/2023,9:40:00,886153
9/23/2023,9:45:00,867944
9/23/2023,9:50:00,849015
9/23/2023,9:55:00,829788
9/23/2023,10:00:00,807421
9/23/2023,10:05:00,781638
9/23/2023,10:10:00,751891
9/23/2023,10:15:00,712140
9/23/2023,10:20:00,675833
9/23/2023,10:25:00,659633
9/23/2023,10:30:00,647345
9/23/2023,10:35:00,636256
9/23/2023,10:40:00,625966
9/23/2023,10:45:00,615464
9/23/2023,10:50:00,605139
9/23/2023,10:55:00,596437
9/23/2023,11:00:00,587208
9/23/2023,11:05:00,576846
9/23/2023,11:10:00,565376
9/23/2023,11:15:00,549964
9/23/2023,11:20:00,537127
9/23/2023,11:25:00,534003
9/23/2023,11:30:00,533002
9/23/2023,11:35:00,533545
9/23/2023,11:40:00,535142
9/23/2023,11:45:00,536552
9/23/2023,11:50:00,539063
9/23/2023,11:55:00,542358
9/23/2023,12:00:00,547642
9/23/2023,12:05:00,553432
9/23/2023,12:10:00,559598
9/23/2023,12:15:00,565784
9/23/2023,12:20:00,573505
9/23/2023,12:25:00,582965
9/23/2023,12:30:00,593325
9/23/2023,12:35:00,604270
9/23/2023,12:40:00,616214
9/23/2023,12:45:00,628496
9/23/2023,12:50:00,641546
9/23/2023,12:55:00,655531
9/23/2023,13:00:00,669957
9/23/2023,13:05:00,685057
9/23/2023,13:10:00,699906
9/23/2023,13:15:00,715458
9/23/2023,13:20:00,731724
9/23/2023,13:25:00,749041
9/23/2023,13:30:00,767205
9/23/2023,13:35:00,784377
9/23/2023,13:40:00,802370
9/23/2023,13:45:00,820352
9/23/2023,13:50:00,838680
9/23/2023,13:55:00,856909
9/23/2023,14:00:00,874386
9/23/2023,14:05:00,891292
9/23/2023,14:10:00,907281
9/23/2023,14:15:00,922199
9/23/2023,14:20:00,937262
9/23/2023,14:25:00,953027
9/23/2023,14:30:00,967505
9/23/2023,14:35:00,981477
9/23/2023,14:40:00,994645
9/23/2023,14:45:00,1006912
9/23/2023,14:50:00,1018781
9/23/2023,14:55:00,1030981
9/23/2023,15:00:00,1043619
9/23/2023,15:05:00,1056049
9/23/2023,15:10:00,1067574
9/23/2023,15:15:00,1079056
9/23/2023,15:20:00,1094240
9/23/2023,15:25:00,1114413
9/23/2023,15:30:00,1135956
9/23/2023,15:35:00,1161265
9/23/2023,15:40:00,1187962
9/23/2023,15:45:00,1217313
9/23/2023,15:50:00,1248979
9/23/2023,15:55:00,1282701
9/23/2023,16:00:00,1317814
9/23/2023,16:05:00,1354072
9/23/2023,16:10:00,1391356
9/23/2023,16:15:00,1430659
9/23/2023,16:20:00,1475150
9/23/2023,16:25:00,1521937
9/23/2023,16:30:00,1570066
9/23/2023,16:35:00,1618640
9/23/2023,16:40:00,1667406
9/23/2023,16:45:00,1717626
9/23/2023,16:50:00,1768473
9/23/2023,16:55:00,1819697
9/23/2023,17:00:00,1869807
9/23/2023,17:05:00,1917588
9/23/2023,17:10:00,1964893
9/23/2023,17:15:00,2012639
9/23/2023,17:20:00,2059170
9/23/2023,17:25:00,2102141
9/23/2023,17:30:00,2146895
9/23/2023,17:35:00,2191734
9/23/2023,17:40:00,2232090
9/23/2023,17:45:00,2269881
9/23/2023,17:50:00,2309094
9/23/2023,17:55:00,2348361
9/23/2023,18:00:00,2383781
9/23/2023,18:05:00,2417097
9/23/2023,18:10:00,2447811
9/23/2023,18:15:00,2478804
9/23/2023,18:20:00,2506891
9/23/2023,18:25:00,2532694
9/23/2023,18:30:00,2558176
9/23/2023,18:35:00,2582517
9/23/2023,18:40:00,2602083
9/23/2023,18:45:00,0
9/23/2023,18:50:00,2632138
9/23/2023,18:55:00,2648840
9/23/2023,19:00:00,2661832
9/23/2023,19:05:00,2671999
9/23/2023,19:10:00,2679080
9/23/2023,19:15:00,2684359
9/23/2023,19:20:00,2687342
9/23/2023,19:25:00,2685311
9/23/2023,19:30:00,2683116
9/23/2023,19:35:00,2679387
9/23/2023,19:40:00,2675766
9/23/2023,19:45:00,2668989
9/23/2023,19:50:00,2660669
9/23/2023,19:55:00,2652397
9/23/2023,20:00:00,2639373
9/23/2023,20:05:00,2623382
9/23/2023,20:10:00,2601418
9/23/2023,20:15:00,2575891
9/23/2023,20:20:00,2548782
9/23/2023,20:25:00,2518421
9/23/2023,20:30:00,2483983
9/23/2023,20:35:00,2451221
9/23/2023,20:40:00,2416583
9/23/2023,20:45:00,2381855
9/23/2023,20:50:00,2349287
9/23/2023,20:55:00,2316684
9/23/2023,21:00:00,2284544
9/23/2023,21:05:00,2253869
9/23/2023,21:10:00,2225666
9/23/2023,21:15:00,2198841
9/23/2023,21:20:00,2175402
9/23/2023,21:25:00,2156467
9/23/2023,21:30:00,2143777
9/23/2023,21:35:00,2135170
9/23/2023,21:40:00,2128401
9/23/2023,21:45:00,2126460
9/23/2023,21:50:00,2130220
9/23/2023,21:55:00,2137748
9/23/2023,22:00:00,2150418
9/23/2023,22:05:00,2165330
9/23/2023,22:10:00,2181739
9/23/2023,22:15:00,2201885
9/23/2023,22:20:00,2224820
9/23/2023,22:25:00,2250455
9/23/2023,22:30:00,2279699
9/23/2023,22:35:00,2309038
9/23/2023,22:40:00,2338901
9/23/2023,22:45:00,2370000
9/23/2023,22:50:00,2404690
9/23/2023,22:55:00,2437546
9/23/2023,23:00:00,2471043
9/23/2023,23:05:00,2502853
9/23/2023,23:10:00,2532808
9/23/2023,23:15:00,2546485
9/23/2023,23:20:00,2550484
9/23/2023,23:25:00,2550919
9/23/2023,23:30:00,2561443
9/23/2023,23:35:00,2591995
9/23/2023,23:40:00,2619275
9/23/2023,23:45:00,2644270
9/23/2023,23:50:00,2667880
9/23/2023,23:55:00,2691299
9/24/2023,0:00:00,2711248
9/24/2023,0:05:00,2726267
